v viv vix vict 3	# él
v val valu valit 2	# erős, egészséges, képes, bír, -hat, -het, tud; érvényben van
v refug refug refugit 3i	# visszafut, visszariad, elmenekül; vonakodik
v hab habu habit 2	# bír, birtokol, van neki, tart vminek (acc.); tartalmaz; kijelöl
v d ded dat 1irr	# ad, nyújt, oszt; okoz
v accus . . 1	# vádol
v administr . . 1	# hozzásegít, irányít, kormányoz, ellát
v adolesc adolev adult 3	# felnő, felserdül; magasra nő, megnő
v ag eg act 3	# űz, hajt, tesz, cselekszik, csinál, él; kormányoz, tárgyal, foglalkozik vmivel (acc.)
v agit . . 1	# űz-hajt, hajszol, hajlít, hajlítgat; foglalkozik vmivel (acc.), tárgyal, rebesget
v am . . 1	# szeret, kedvel; szívesen tesz vmit (inf.)
v amput . . 1	# lenyes, lemetsz, levág
v anteced antecess antecess 3	# előtte megy, megelőz
v applic . . 1	# hozzáilleszt, alkalmaz
v arm . . 1	# felfegyverez, fegyverbe állít
v ascend ascend ascens 3	# felszáll, felmegy (acc.)
v aud audiv audit 4	# hall, hallgat
v aug aux auct 2	# növel, gyarapít, fokoz
v caed cecid caes 3	# levág, kivág, leöl, lemészárol, üt, ver; vés
v can cecin cantat 3	# énekel, megénekel, dalol; zeng
v can cecin cant 3	# énekel, megénekel, dalol; zeng
v cant . . 1	# énekel, énekelget, dalol, dalolgat, zeng
v cap cep capt 3i	# fog, kap, elfoglal, befogad
v capt . . 1	# fog, fogdos, kapdos; vadászik
v cav cav caut 2	# óv, óvakodik, vigyáz, gondoskodik; kiköt
v celebr . . 1	# ünnepel, ünnepet ül; ismeretessé tesz, foglalkozik vmivel (acc.)
v cern crev cret 3	# elválaszt, megkülönböztet, eldönt; lát
v cert . . 1	# küzd, harcol, verseng, versenyez, vetekszik, megvív vkivel (dat.)
v clam . . 1	# kiált, kiabál; hangoztat, hajtogat, hív
v cogit . . 1	# gondolkodik, elmélkedik, meggondol, szándékozik, törekszik
v col colu cult 3	# művel, tisztel, ápol
v cond condid condit 3	# alapít, épít; elrejt, dug, gyűjt, fejt
v conect connexu connex 3	# összefűz, összekapcsol, összefon, összefog (dat.)
